"id","job_title","company_name","job_location","city","region","country","email_id","email_date","total_jobs"
86,"Senior Data Scientist, Experimentation and Causal Inference","Bolt","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1811843385127411","2022-05-30",NULL
87,"Data Scientist - Digital Markets","Gartner","Barcelona, Catalonia, Spain","Barcelona"," Catalonia"," Spain","1811bec9583b0fc0","2022-05-31",NULL
88,"Principal Scientist, Data Science RWE Advanced Analytics (JDR DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","1811bec9583b0fc0","2022-05-31",NULL
89,"Senior Data Analyst, CRM Marketing","Bolt","Bucharest, Bucharest, Romania","Bucharest"," Bucharest"," Romania","1811bec9583b0fc0","2022-05-31",NULL
90,"Senior Data Scientist","Koa Health","Barcelona, Catalonia, Spain","Barcelona"," Catalonia"," Spain","1811bec9583b0fc0","2022-05-31",NULL
91,"Data Scientist - Experimentation","Spotify","Stockholm, Stockholm County, Sweden","Stockholm"," Stockholm County"," Sweden","1812200660c05c0c","2022-06-01",NULL
92,"Data Scientist, Bayesian Statistics","Intelligencia","Athens, Attiki, Greece","Athens"," Attiki"," Greece","1812200660c05c0c","2022-06-01",NULL
93,"Data Scientist, Database Migration Accelerator","Amazon","Gdańsk, Pomorskie, Poland","Gdańsk"," Pomorskie"," Poland","1812200660c05c0c","2022-06-01",NULL
94,"Junior/Medior Data Scientist","Sensorfact","Utrecht, Utrecht, Netherlands","Utrecht"," Utrecht"," Netherlands","1812200660c05c0c","2022-06-01",NULL
95,"Principal Scientist, Data Science RWE Advanced Analytics (JDR DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","1812200660c05c0c","2022-06-01",NULL
96,"Product Analyst - Causal Inference","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1812200660c05c0c","2022-06-01",NULL
97,"Data Scientist - Auction","trivago","Düsseldorf, North Rhine-Westphalia, Germany","Düsseldorf"," North Rhine-Westphalia"," Germany","18126b43c9672602","2022-06-02",NULL
98,"Principal Scientist, Data Science RWE Advanced Analytics (JDR DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","18126b43c9672602","2022-06-02",NULL
99,"Senior Data Analyst, Marketing","Bolt","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","18126b43c9672602","2022-06-02",NULL
100,"Senior Data Scientist Commerce (Demand Forecasting)","Albert Heijn","Zaandam, North Holland, Netherlands","Zaandam"," North Holland"," Netherlands","18126b43c9672602","2022-06-02",NULL
101,"Senior Pricing Analyst","Bolt","Tallinn, Harjumaa, Estonia","Tallinn"," Harjumaa"," Estonia","18126b43c9672602","2022-06-02",NULL
102,"Machine Learning Manager (Viator)","Tripadvisor","Lisbon, Lisbon, Portugal","Lisbon"," Lisbon"," Portugal","1812d53b5d8ba828","2022-06-03",NULL
103,"Manager, Data Science - Quick Commerce (f/m/d)","Delivery Hero","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1812d53b5d8ba828","2022-06-03",NULL
104,"Senior Product Manager - Pricing Measurement","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1812d53b5d8ba828","2022-06-03",NULL
105,"Statistical Geneticist/Statistician","Human Technopole","Milan, Lombardy, Italy","Milan"," Lombardy"," Italy","1812d53b5d8ba828","2022-06-03",NULL
106,"Data Scientist","Bolt","Tartu, Tartumaa, Estonia","Tartu"," Tartumaa"," Estonia","181307857c2589a4","2022-06-04",NULL
